eid,grp,north,dp,cone,shear,bz,ma,sza,mp0,bs0,thick,n_bg,b_bg,t_bg,v_bg,dn,eb,beta_near,t_near,n_near,r_nb,peak,shape,flux
2007-08-08_tha,NONCAND,True,1.15,25.2,86.5,0.07,11.7,15.4,11.16202205252105,14.298848688178975,3.1368266356579255,5.782017707824707,12.909509658813477,361.7226664132187,149.89466857910156,0.0949,3.2952,0.0795,647.8,0.55,-0.829,nan,nan,nan
2007-08-09_tha,REJ,True,1.84,57.1,68.1,1.26,11.4,15.7,10.40889199646618,13.337414061205273,2.9285220647390933,25.076431274414062,17.06523323059082,184.8794098549411,98.52455139160156,0.8514,2.2147,0.9786,164.9,21.35,-0.669,0.064,-0.099,0.046
2007-08-10_tha,NONCAND,True,1.84,56.6,69.1,1.2,11.3,15.8,10.40818083162982,13.337677399518405,2.9294965678885845,25.077022552490234,17.06534767150879,184.87749100066793,98.53379440307617,1.1834,2.2647,1.0615,144.0,29.68,-0.44,nan,nan,nan
2007-08-11_tha,NONCAND,False,1.92,79.5,98.69999999999999,-0.3,15.0,15.8,10.289101160929812,13.156330684442253,2.8672295235124405,10.781916618347168,10.881084442138672,456.16931897852317,153.91668701171875,0.5486,4.5966,0.4319,443.4,5.92,-0.799,nan,nan,nan
2007-08-11_thb,NONCAND,True,2.02,81.0,81.69999999999999,0.38,12.3,16.0,10.24861010180323,13.122413002253637,2.873802900450407,10.828550338745117,16.82134437561035,449.9544734531204,148.01988220214844,0.8955,1.3618,4.0804,481.8,9.7,-0.648,nan,nan,nan
2007-08-11_thc,NONCAND,True,1.99,81.4,84.5,0.25,13.1,16.0,10.274196704474083,13.148993093452633,2.8747963889785506,12.534934043884277,14.898736953735352,452.4500988834697,153.18960571289062,0.0741,3.4887,0.1088,783.2,0.93,-0.804,nan,nan,nan
2007-08-11_thd,NONCAND,True,1.98,81.4,86.89999999999998,0.14,13.3,16.0,10.280752609587575,13.155908136552783,2.8751555269652087,11.447865009307861,15.571897029876709,436.5408274611759,150.9980010986328,0.064,3.4134,0.0892,868.4,0.73,-0.816,nan,nan,nan
2007-08-12_tha,NONCAND,False,1.42,29.0,92.60000000000002,-0.01,13.1,15.2,10.808801072529644,13.83318372611115,3.0243826535815064,11.73829984664917,12.520051956176758,286.6221440934563,92.94223022460938,0.524,3.1595,0.4809,327.4,6.15,-0.75,nan,nan,nan
2007-08-12_thc,NONCAND,False,1.5,38.2,111.89999999999998,-0.23,12.4,15.5,10.691106906249848,13.688524493165863,2.997417586916015,12.739387512207031,11.242339611053467,279.65243669631764,115.4072494506836,1.373,2.035,3.3521,253.2,17.49,-0.808,nan,nan,nan
2007-08-13_tha,NONCAND,True,1.11,49.8,86.10000000000002,0.07,14.7,15.4,11.222055144605559,14.350964474926036,3.128909330320477,13.936788558959961,9.065306663513184,149.44406632108775,50.046342849731445,0.2429,4.802,0.1196,164.4,3.39,-0.662,nan,nan,nan
2007-08-13_thb,NONCAND,True,1.05,39.1,88.0,0.03,15.9,15.4,11.316424014680857,14.465369736474862,3.1489457217940053,12.591312885284424,10.822100162506104,162.5693562962555,60.51028823852539,0.1346,4.0183,0.08,209.9,1.69,-0.764,nan,nan,nan
2007-08-13_thc,NONCAND,True,1.06,42.5,86.19999999999999,0.06,15.6,15.5,11.300569920025248,14.446536023969355,3.1459661039441063,15.44989013671875,10.152118682861328,155.57135114661952,52.66739845275879,1.6133,2.684,1.1824,112.1,24.93,-0.913,nan,nan,nan
